id,sentence
2708885,lin nng e ti hiau si sin su tsu si beh kong siannh
2714733,gua kong i tse koo hun kau ah hun too e beh kah li kong ue li tsit ma si siang khai too ah
2726055,li tioh ai khun khun hoo pa
2738050,hai kong ma he
2767681,lin kiam bo kong ia u si ge jit tsiu siunn kua si kau mah gua ka lin kong giah kah khuann hng i king sik thang kuah lah
2769096,li iong i e kua siann kah hian a bi miau e suan lut ka ping an ham hing hok thuan tat tshut khi
2791411,bo gua sit lai
2796616,sua loh lai beh lai siau kaih hue ling ki e an tsuan siat pi to sing mng ti hue ling ki e nng pingsang tsoo an ti thau khak tinghing sing i ti i a kha
2852459,thau tiunn siann mih tai tsi
2861550,it tik ai e lah
2863047,sat bak a tu liau kau tshi i gua koh u siann mih tioh sik
2897804,e sai tsing tsinn ah si be saih
2919291,lau hiann ti ooh puah loh to puah loh khi ah hmh thang tua se siann
2931209,koh hit tsam pi tsit tsun jit tsi ke lua hing hok leh
2995543,long hoo se hong gui the khuann tso si si tsing khuan tui gua tsing tshik khah toop lip tsik kik e piau hian
3018066,tik hua tui khong one go ki sit si ko tsing ni ka ti tsiah thak thuok ka e huan lik
3037760,gua e sim
3044652,i lai kau koo tioh e na lai
3091038,ma mah bo peh khia li
3093659,an ne siu kai u e bo bun te poo hun kho ling u bun te
3115433,ah li me gua thoo lui si li long tioh gua e neh
3137634,peh pah khong ka ki iah gam tsioh iu ka tian kin OPEC leh ui Google
3140469,tsit e ki khi lang e TBS si iong HBS ah si thak kho tshoo thong thuh tso e
3145309,thoo ka tu jiu ho u liu siu tioh se ji liau liau a kiann
3169009,ki e pue hu pe e be te
3178831,tshiann mng e te to tsit ku e kong huat lan tai gi be an ne kong
3211378,mui tsit e lang long si tok lip emui tsit e lang long u ka ti e sing uah king giam kah ti sik
3230934,thng siunn ti gua bo se ji tsiap tioh li e khoo
3232546,i ka te sann liap inn a ma tsiah tsiah loh khi na tsiah kann na o lo kong uah gua tsu tshut si kau tann lan tsiah kue tsiah ni phang e inn a neh
3253943,kiam tiann tsiah kah khauh khauh khio
3267804,lan tsit tsun tui gua khuan ai ni tiam gua tshing
3295270,khi lai tsa boo ho
3305210,kak hue a li u iann tsiok sui e liok gun long tsiok him sian tsiok kai li liok un thong sann khui tshui ka o lo
3317495,ti jit pun sa puah lah khui e hit pang tsun kui phiann ang ki ki kai sui
3384897,auh be
3404058,tsap ji ue a siak phua kam u iau kin
3422133,thau tsing kong ui tioh pi se teh sia hioh uan na si nua thau lan to m si to leh go ah si u iann hiah iau i hia e tsiong kim
3447981,ho un lah
3470920,li tso ho e BBT sing iah tsit hun hoo gua phinn phang tsit e ho bo
3483233,koh leh khi sing le uah beh loo si
3494380,phinn i hiong e sng tshoo sin liah thang hue e pang hoo tshoo tsong e u hit kang siok li phoh si gua e bang
3513041,m thau tshai
3516779,li e phue hu bong khi lai iu iu iu be sun a gin a leh
3520359,kuan ho ka ki e tai tsi to ho lan bo tsai tiau kuan pat lang e ing a tai
3523962,a khan a
3535048,khah tsit pai tui beh khuann gua
3537894,ma tsham khui e hiunn tong lian si he ku
3605681,gua a put lah e ing tsit su
3618546,tshiu lai theh hit tiunn phue tsua na thak bak sai na thok thok ti
3667746,i tshiann gua bo nng bai to khang hue ah
3689268,lau gua ko sann pit giap e ing gi tsuan giap thang ng ni
3699970,in tau e tian hue long uah e loo i ti e ke tsiann kng e
3740638,tsan sing tsia o lo i kiann u sit loo suann m koh kiong to tong tiunn kok hue ka te tse
3754174,peh i tsinn kuai leh tue lang tsau ah
3759954,li kam iau koh u ki thann e hong huat lai tso tong siu huat
3826063,i tsing li tai gi su lui tsong si tse si tua kang ting ma su iau siong se hian ui ue
3835742,he tian tong tshia honnh tsau be tin tang in kai si bo tian a ai ka bat te lih theh tshut lai tshiong tian tsit e
3911163,tshit hu hoo gua koh lin kui pue ah ho bo
3949192,kiok khong ni tai khuann pun e tsu liau khoo ma khai si ki tai uan tiong kok ting soo tsai kian lip
3982394,lan kin lai tsiah png lah
4002232,oo too bai si tsiann ping siong e kau thong kang khu tsuan tai uan soo bo lang be hiau khiau oo too bai e
4141604,li e hak liap khah iau kin
4182998,tiam tiam ti pinn a tso bo su jin
4189247,ke lang bio khau e thian pu lah siong u mia
4212496,li tsit e ho ne leh
4217463,tsit siang gueh a
4309557,li kik lun tsok tsiann kong Obama e iu tiam si i tsu tiong su iong king tse kah gua kau e lip liong
4326594,si an tsuann in e tang khuann bian tsinn e gun be iong tsit lah
4331509,maih king lang u hinn bo tshui m ho oo peh gun
4336860,lai hang lang po lang u hing ui gua hang e koo gua ok hiah kiak
4381350,bian koh pian han kah ni te li tsinn to hai gua lah
4412195,i kiann kah bin sik pe sut sut
4414149,in a jit e ting hun ko honnh kam e sai siann li the gua ka tsit kua kong tshong ai nai khi in e bui a ho bo
4429397,li sing thiann su khi tan kheh tioh a
4457974,tse to tso sing m na si kann lak siunn kheh kui iong siunn kuan kuan li siunn khuan lan nia nia tsiah tse lang khi kuainn
4521894,tsit ma ma si kang khuan mah
4537848,tsioh gua tsit kha su li pah phah ka tsua
4552098,gua hit tai tshia tsue kin tse ka si liap thai ia tsuan koo hua gueh
4569283,li tshiu ng liap khi lai sun suann ka li pong hui ap
4629126,ai siong sin ka ti it ting phann e tioh lam ping iu
4649276,ui tioh siau loo tshi tiunn tua lat thui sak kik tuan e siau hui tsu gi hoo lang tsit si a to sui tiau ti bo pit iau e khai siau
4668505,a tsui peh a sang hoo gua sann tsap pau thng a
4669074,li hit lo ga suh kam u kuann e u ga suh bi tsau tshut lai
4670610,tsit e phang lai ke khu li mu iau koh sio sio gin a lang gun ai tsiah e
4683343,aih ioh
4738641,tso tsit kua sin the bo tiann e kah i e tai tsiphoo phoo thann thann tsiong i tsing gik thai sin the e giah
4740471,sann siunn tsit hoo ho khi khuann
4756797,hai kuan thong gueh liau au tsiah khi hau ki sik sio tan si kan na u khah liong e tang khi seh bian sue ke
4798144,gua hoo li long e lang
4832007,in to si bo ting soo khi tsiah e tak pai long e lau kau mih kiann
4857311,sin lun te tshiann kai sueh tsok tsia soo kong lu sing m si tshut si to tsiann tso lu sing si hong kau iok tso lu sing e tsit ku ue e i ham tsap hun
4887436,tan si
4896376,C tso tai gi bun bun ku e hun khiah Crosby li iong i huat siu Crosby kai tsin gi su kah phue e tsik khah kut
4908017,gua e khi tse iann i
4929393,a bu gua ia m si sann hue gin a na e be hong si m
4931486,ong hai thai lin sin pu sit tsai tsin gau tsu kah kui to phang kong kong
4947445,li thau mng tshui tshiu peh lau khok khok ah iau koh siunn beh kah lang tshua sui boo ooh
5036982,be li siunn kheh khi ah
5056317,piau tat ka ti e tsu tiunn tshu bi ah si kong si kua tshio khue
5060932,tioh ai pe bu tsu hun ai u jin ke lang kai siau khi hong tsa poo ah m tsai him a hoo luan luan kau
5065403,tng lai ah
5082688,ng ping iu liam mi to beh lai ah tsiah ma huat li theh gua iu li tsit kua mih kiann tshiann lang tsiah
5114319,nng e lang hiah ni ho suah kiann kau bue bo ua kho ai tshin tshiunn sak bun phue tsing hun na e tsiah ni po
5145207,hiong hiong u tsit e lang ka i ioh tsing sin i bak tsiu ngiah kim khuann tioh tsit e bin tshiunn tsiok bai e tsa poo lang tsiann tua siann ka huah
5161983,li ka sing uah e kiong sim khng ti to ui bo tai tsi thang tso e si ni kam e khang hi tsit e lang e si
5175224,tsit tsun hoo lan theh lai liah siu khi e tsiau a
5180973,tui in tshu lai e hiong gik si siann khuan in tng khuan e jin sing beh an tsuann
5187653,tiong kok m hing hoo bi kok e tshit tshit ian kiu ke tse e pian kok sam phu luh
5199454,aih iah m si ah
5262164,khui na e bo kuainn ah
5262226,li khuann mui tsu ooh tsiah gau khinn ke tsit ma tsing hui tsiah bat tai tsi gua tui tan ka u kau tai ah lah
5265853,u i guan ah si u kho ling ti li khong it liong ni tsham suan tsong thong e kiong ho tong jin su
5278409,kiann bi kok Iran kiann ua Saudi kho ka ti bi kok tsue kin kah Iran kai sian kuan he i king in khi tsit khuan
5303777,tsiah ping khui mng loh tshia tsin tsing tshiann tsu i tshia siunn kau gueh tai tiong nge phang m thang lak gueh phang lih
5367259,li na koh kiam li sann tsap hue ah honnh gua tsiah phah hoo li tsiah
5375914,i kai liah kian siau tai i sing thau kiat kin kong kong kui loh ik e puann iam kim hoo phian liau liau
5409792,mng kiann kuann hoo ho oo
5416794,au piah na bo lio ui hue kah kheh tiau leh tho tiam liau ku e tsiunn giap hoo bu tiong sim kam kak an ne loo bu
5426392,kin leh kin leh a ha puann loh khi ah
5457111,mh hah hah hah
5458367,tsit uann thoo lau khng khong kah mih mih mih tshiann ho loh lau
5479445,eh ah li tsiah ka gua kai mia lah ah lin pe kio tse tsio a kau lah
5512217,soo ngi tshiunn ki a kam u ho iong
5535176,hngh hngh tsiann niau
5586306,sin niu sin niu sui tang tang khoo te ho ho bo khua khang sin loo pue a khang kuan kuan kiann sun tai tai tiong tsiong guan
5671133,kong bo nng ku to beh khi khah tang tshiu ah
5678010,ling gua pun sit giam tshai iong kan hua e su lui kan na gun tua lui tong su ngia su hing iong su ting ting
5684091,ing am gua tsiah kah li lian lok
5738755,thinn khi tua huann thah tsit liap oo ba khah ho
5756781,heh heh
5784654,i tshit tshit tshng tshng teh hap li kam long bo thiann e
5808321,siunn khuann mai kong khuann mai be a kah iunn a tsha ti toh
5819510,a pah mai khah thau pai mui a
5827454,a sui kam moo a pai thok li the i tshing ka
5836953,in e put buan koh kah lai tsu san tsia e tsng kha e put buan hue hap tui sia hue e un ting tso sing thiau tse
5844820,a peh
5845517,i si tsit e jin au tshit e sian sinn lang
5852782,i ui tioh phio bang ne king lian kong ong po tshuan ka sih ping kui si thau tsit tshut tai uan lang hip e tua ki phinn tian iann
5863299,tsai tin e hai iann long si huai thai ko nua lo senn thau khuann bue khue thau khoo siunn gua i koh tshi tsuann khuann tioh gua beh khi tue bo hue
5866760,ping siong si khang khue tso kah puann me tsiah png kuan si na phue tian nau
5870136,tsit ma si guan tsu in tsok ging bang li lai kheh ka gi tai gi long u ki hue
5893431,tsu mue hoo gua tsiah
5922588,lai tshiunn kuann
6051987,khang ke a lai king to tsit e suan hang siong tho tong
6073319,a peh si gua
6083243,ng sing phinn e ian guan tso khi lai ma bo kai khuai lok loo pinn e ke iu kui jit ing sian sian
6093391,si lah gun tsai iann m tioh ah lah
6150588,tsit put ko tse kah lian ing lai te ki thann tong phai e i kian u sio khan lian
6209090,tham koh tua liap e inn ooh tsit liap tsit khak gin nng liap nng kak gin sann liap tsiau beh tsinn ooh kuann be siann khi in tsit kua kiann loo lang e tsu i
6264694,in ui siam pit oo too bai suah tsing tioh ang boo thoo hoo nua kiau tshia e tshia thau thak po tsit e tsin giam tiong
6264813,tsan me kam moo a na tu li theh tshing ka
6286153,kho ling bo huat too tsun si sit le
6298593,tshiann li ti long tsit siann liau au khai si lau ue to sia
6368252,senn ang e kau guan si to tsit e
6378957,ling gua ing gi ing bun e gi liau khoo tso tshut lai e gi su tah phuekai su in atC si tai gi su bat uan su oh bo in ui pin lu tsin kuantsia e gi su e gi su tah phue of the lat loh tshut li in oh ma long pai ti tsiann thau tsing
6400270,sui ka lin ke tiam lei kong
6502876,e khi tshik tioh lang e i su
6515785,in ui hue gam tiann tiann su iau hua liau ti liau kue thing hoo i thiann tiuh tiuh
6556685,kio siann mih mia
6558962,ah gua koh lai tsiau hoo lang kheh lah honnh
6563090,eh
6581417,he thai e sai gua iau be tsiah tioh neh u lang bo huann hi leh tua siann huah
6624379,kah i to kau hoo li tsiau koo honnh
6707258,kue hai kuan tsin tsing ku tsui ah si pak khuan tshiau kue tsit pah CC e ik the long ai to tiau u nai kah to a ah si pak e ui kin phin e tshiann tsu tong tan tiau te sai tsah khi sing khu ting
6730943,tsit e u thiann sin e a i koh ka in ting se sing khu tsit pai phak tah liau au theh put tau ka put kah tshiunn sin e kang khuantsing tshah sik tsui u khah sit
6751103,tshin tshiunn kin gueh pah bo khng ting ng tsue tshia hinn long ai iong tsit li lai tso
6766967,tsiah bo huan ging li lah
6776266,gua e sing khuann lah
6792883,ho i au na si huat sio tshiau pun nng kang tio ai sui lai kiam tsa oo
6793553,oo bah sng li ho li beh ai e mih kiann ti tsia
6798235,ki hue e ti lak gueh te i tsing tak sing hiap i
6812908,iu tong phing sian sinn iu tong phing sian sinn li lau bu to teh tshue li tshiann kau te ji kui tai sio tan to sia
6827860,gua tsit ma ting ti leh a tsiunn ke e tshu u ing jiah lai tse lah
6851252,tsing oh lai e si sim lai kam u buan tsiong e kam kak sin khu na kiann liau siunn kin
6854041,bo khuann e khai kue sim
6864830,m bian gua hiah ke
6869857,a tsi lang kheh kheh khi khi
6894726,e tsai a u lang khah tiam inn lai khu tshing li tsit koh gueh ti tiam lai lu tsenn si mi lu tshua pai tsit tshing khoo to sang ho khang
6906433,o tsiu kok hue bat ti ji khong it ji ni piau huat tong sing hun hap huat hua e gi te tsan sing khai su ka thng khoo
6954659,in ui bo su li ham hoo sing e bun te soo i e ing iong tioh sit giam kiat ko e phin tsit
7023153,gua thai ai li soo i tsiah tsiah ni tshong pong
7023161,a an pi a huat ke kai khiam
7035973,thau ke gua na u hiah san s e gua na tshing e lueh
7060735,m na si lan hian tai tai gi lang oh thak lian theh lai kai e bian tsia ma hue hue tsit tsiong iong ji huat siunn kue i uat sit tsai put kho tshu
7090102,hennh si u lang beh sue si m
7112197,tong jioo hun hap hua hua to lai khuann o tsiu
7124255,goo tiam ji a N V N su tsoo
7178788,to tsit khuan khui nua tsui siong hian lian lai be nng kuai sng khi tshi khuann lai
7186352,tioh a phai u khau ling tsiah bian sinn lah
7296222,iau m koh u lang ui tioh ko jin e li ik ma hong siann beh lai sio tsinn
7301781,lai tse lai tse
7363220,lai khui mng leh
7393800,hit tui ang a boo oh e si tsing phai e pu lu su tshau kah tsiann ho khuann
7406413,──sau ti tsit tsap pah gueh sin poo ong sann mng kin ni tsio gueh tsiah ting ki tse ui
7430267,gua kong gua e io gua e lah
7468183,a ha a ha a tsiunn peh a a tsiunn peh a
7482956,liap khi
7490227,kau thann iau u tshut tse siau lian lang e tuann gi ta ki liok tsa boo gin a
7506721,sann tsap hue i au to tso sian a siong m bian tsiah png a hiooh
7519845,sim kuann
7529118,ah li tsa hng to kio gua khi be tsit kua liau gua khi huan luh lah
7557447,li siann mih si tsun beh tng khi tai pak
7569712,tsoo pai thai lu i king pit khui ah hai khah tian ue king sai hu lai mua
7582130,sia m khi kau te si ki phian tsih lai ka tiunn a hiah phok khui
7596712,te li khuann mai
7659382,siong ue hit phinn suah hi e thau tsing tsit puann si ji khong khong pat ni sia tu tu si to tng tshut pan khi tsit tang
7662842,tsui khau be khi li kho ling ai tau si lai phang phuh lai phang
7677163,an ne tso kam ok
7697845,hun lin guan oo khe hiong i huan inn a to u tsit king sann tsap ni king bo ah lau tiam
7722475,lan hun sann tsiong tsing hing lai tho lun
7765339,sin tiam tshi tsit ui goo hue e tsa poo gin a in ui ui tng iam hiap tshut tua tng phah khang king kue kin kip e tshiu sut tsiah kue bin
7814034,li kiann loo na e kuai kuai kam si khi uai tioh
7823408,bi kok kah Iran ma u kiong tong li ik pi lu Iran tsi tshi e Shia bin ting
7851610,ui tsit e kak too khuann tsu tong gi su tah phue thong ke pio tui su tian su tiau e siu lok e tang the kiong tsit kua kian gi
7862005,kue lai tsit si a lah
7881781,kiann
7967616,tshin tshiunn han lo poo hun e ong laiam kue tsu pun ing kai si tsit e su
8001515,oo sui ia bai a
8015871,honnh lai lai lai than sio tsia than sio tsia
8030489,tsit hang tshai lai te u tsham le bong tioh m le bong bi tsin kau tsin phang
8035833,ah beh siann poo
8143885,sat bak a ti tsa tsing si siann mih khuan lang leh tsiah e
8156232,sian se i tsit kui kang liam mi huah kuann liam mi huah luah kam e si tioh ma la li a
8257079,gua hiong i suat bing hit kiann tai tsi
8271238,tsing lang thiann han tsing li an ne kong long kuann kin ah tah u khuann suann ting tsit leh khuann tak ke sim lai long am huah tsit siann gua khoo ah suann e tsiah tshiu ping u iann kiam tsit puann khi ah
8275257,li si tui to ui li tioh tsiah ang a e
8301015,lai kai jip tsoo tsi ah si tse tshai po hing
8328678,sun sun leh
8339204,P of AB uan sio i P of a sing P of B soo i mi of AB si hu soo
8377883,pio it ka mi kah CR thau tsing sann tsap tsit pah goo pah tsit tshing sann tshing goo tshing e kiong tong su tsoo e soo liong liat tshut lai han lo kah tsuan lo hun khui sng thai tho lun tsit e su tsoo ti mi kah CR nng e thong kue pik long u tshut hian
8385359,in tsai poo tsang kai u tsun tiam liah tsit ma e bo siann kang khak
8399794,i sing jin iau koh u tsin nng e loo ai kiann
8402818,u gua khiong poo to tshin tshiunn Clinton si gueh ji kau ti New York e Columbia lai hak tsit tiunn iat suat kong e
8408002,kah ua au au kio
8440970,kong ue li tsing king m thang hi khi tshio
8443788,tse tsheh phainn a bin ting u sann e tsiu tsiu sann e sik tsui long bo kang
8474550,siann mih thau loo e pi tsit lo khah ho
8479447,lan tsap ji tsing ka jip WTO be be e mih kiann khah bo khioh sueh
8499845,li tsa khi si a pin tuann khi lai khi hue
8520139,hong bun a
8582751,tsiong giap soo kam hik po ju si tong king ik giap kiu tshut gu ki tshu kai huai si kia sing phann kai
8584833,li khah u ing khang kau bah kau siau khai tsit e nai khi siong su sinn e le a si to tsit siang
8593235,mai an ne lah
8610630,kau tann guan tsu bin e tang iong ka ti e bu gi sia kong bun khah sit si tsuan hing tsing gi koh tsai huah tsit tua poo
8653797,i na si pong suan na e pi iau kiu sit hian sing lok li king tshat kai kik lai kong tse i king si tsit e sing li
8683996,tsiok tse lang leh ioh a la a e ti siann mih si tsun to tann
8711953,tng tang sin the huat tshut sin sit kong i i king siunn pa li suah kong m koh ke nng ko tsin sui
8716981,tsa mih lang kong li u tsit mok khuann e si m
8749820,tiam tiam
8761003,ho tshiann
8797571,siunn beh hoo se kai koh khah uan bi siunn beh hoo ka ting koh khah hing hok siunn beh hoo se mia koh khah tshiong sit soo i
8802651,na bian siong pan to u tsinn gua sui si thau loo
8838999,tak ke tsiah peh gua lai sann lau tshut king tua thiann lan li ting ki tshiu siok thuan the hing li thok bun
8894437,si G e sim khah kam e tang tshah ti sann G e tshiu ki a lai bin
8955105,si si giam poo soo
8961638,ti leh koo tsa si tsun pian tong long e ka tsit liap mue a ka tsit te tha khu ang
8991032,gua
8991044,huah tso u hing tshoo tshu khan ting ti tai uan hian tai si te sann tsap jip ki
9014346,i khennh kui puann poo long khennh bo tham
9039022,na mng kong tsue kin suah loh lai kam koh e u hong thai siong tsio tsit si goo kang si bo khuann e lah guan tsiong ping iu ing kai si bian huan lo
9071241,uah piann tioh tsun pi tai sing tshiang gui ki tsing lang thiann hun bing su au bo inn tiunn
9114201,siunn beh ka ti khuann VR to ai sing khi be tsit tsoo khah ho e Gpu siat pi
9115762,li sing kiann suh khi tan kai ting a
9144397,bo jin ho e kuan he
9146475,li tioh ka png tsiah hoo liau
9197114,ti bi kok Omar tsing tsok hoo kong tng kiam e si tsing tshu bi tsu tong the mia tsham tsuan tsong thong e si tsit poo
9197825,li tsit e lau kau li kam bo hun
9241803,ah sann na pah be kue ah
9286023,hiong tsing khoo
9323655,a lak a phah be phuah e
9340011,hun ge put tshinn gun tsa boo kiann na u ban it khuann li beh iong siann mih leh pue gua
9439786,kiann gam tsioh iu huat li kit phoo phiat e ui tu ho
9447104,ha gua tse hun tse tsiah khui
9510807,kuann kah gua bue ah thau ke niu si tai pak lai e i tso lang tsin ho
9512191,iu un gian tai han gi tshut hang inn tsu sin kang ting he tsoo li kau siu
9512268,na si tsau kang oo e kua leh to si thong koo na si khi tsiah kua leh to si phiam koo tse si kang khuan bo kang sai hu tsuat tui m thang hu m tioh khi
9530729,i koh sia kong tng tso phai ti tsuan se kai sit khi khuan ui kau ting iu koh kong ue u siann
9656661,tsin tsing kui kang gua kau tsing tsik e sia tiunn David Roskau tu ho ma sia bun tsiunn i tshut tsit tsiong tso huat u tsin tse hong hiam pau kuat bo huat too ting hiong su thai e kiat ko lai po tsing bi kok e li ik sim tsi siong bue ma si tioh the pat lang tshit kha tshng
9695231,an ne lah
9708839,gua ka khi lai to e sai ah
9722265,tan si tai pak hiah ni hok tsap li tshu tshu tioh ai khah se li leh
9729530,ah tsit nia iunn tsong tshut sui e
9752115,i tsiok gau kah lang kau pue
9768600,hann
9776843,ho ah inn a i king tsiah liau ah kin a jit to kau sia ui tsi looh han tsing li an ne ka tak ke kong
9786562,tsit e ah si hit e
9799560,tsu tsiah e lang ka i teh tsit te phoo tho khi i hiam siunn tse phuah to kuann khi hing hoo lang
9863691,tshu lai e khang khue tap tap tih tih tak hang long ai gua tso na e tso e liau
9876269,a me iau si beh khi tai pak o si beh khi tai m
9977641,tu tsiah gong hng lai u tsiah tse lang i khah sng phok phainn
